"id","source_table","source_table_path","source_table_sha256","firm_pattern","column","producer","replicated","producer_status","group","quantity","paper","delta","tol","unit","class","milestone","status","reason","notes"
"f5_genuineparts_theta","F5","../KRW-2024-companion-public/tables/tableF5.csv","5a493ab4cea623a95ab43f8c1a372a2eca7ad866632098c876914de97c464a67","^Genuine Parts","log_dif","krw_report_card_table_cells",0.3303573,"OK","Report card","F5 Genuine Parts theta_hat race",0.33,0.000357300000000005,0.01,"log_diff","banded","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f5_genuineparts_postmean_baseline","F5","../KRW-2024-companion-public/tables/tableF5.csv","5a493ab4cea623a95ab43f8c1a372a2eca7ad866632098c876914de97c464a67","^Genuine Parts","post_mean_beta","krw_report_card_table_cells",0.25011,"OK","Report card","F5 Genuine Parts baseline posterior mean race",0.25,0.000109999999999999,0.01,"proportion","banded","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f5_genuineparts_postmean_industry","F5","../KRW-2024-companion-public/tables/tableF5.csv","5a493ab4cea623a95ab43f8c1a372a2eca7ad866632098c876914de97c464a67","^Genuine Parts","ind_post_mean_beta","krw_report_card_table_cells",0.23469,"OK","Report card","F5 Genuine Parts industry posterior mean race",0.23,0.00469,0.01,"proportion","banded","M2","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f5_autonation_theta","F5","../KRW-2024-companion-public/tables/tableF5.csv","5a493ab4cea623a95ab43f8c1a372a2eca7ad866632098c876914de97c464a67","^AutoNation","log_dif","krw_report_card_table_cells",0.4332195,"OK","Report card","F5 AutoNation theta_hat race",0.43,0.00321949999999999,0.01,"log_diff","banded","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f5_autonation_condrank_industry","F5","../KRW-2024-companion-public/tables/tableF5.csv","5a493ab4cea623a95ab43f8c1a372a2eca7ad866632098c876914de97c464a67","^AutoNation","grade1_ind","krw_report_card_table_cells",1,"OK","Report card","F5 AutoNation industry Condorcet rank race",1,0,0,"count","exact","M2","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f5_disney_theta","F5","../KRW-2024-companion-public/tables/tableF5.csv","5a493ab4cea623a95ab43f8c1a372a2eca7ad866632098c876914de97c464a67","^Disney","log_dif","krw_report_card_table_cells",-0.1183603,"OK","Report card","F5 Disney theta_hat race",-0.12,0.00163969999999999,0.01,"log_diff","banded","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f5_walmart_theta","F5","../KRW-2024-companion-public/tables/tableF5.csv","5a493ab4cea623a95ab43f8c1a372a2eca7ad866632098c876914de97c464a67","^Walmart","log_dif","krw_report_card_table_cells",0.1158318,"OK","Report card","F5 Walmart theta_hat race",0.12,-0.0041682,0.01,"log_diff","banded","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f5_charterspectrum_theta","F5","../KRW-2024-companion-public/tables/tableF5.csv","5a493ab4cea623a95ab43f8c1a372a2eca7ad866632098c876914de97c464a67","^Charter","log_dif","krw_report_card_table_cells",-0.0322733,"OK","Report card","F5 Charter/Spectrum theta_hat race",-0.03,-0.0022733,0.01,"log_diff","banded","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f5_charterspectrum_condrank_baseline","F5","../KRW-2024-companion-public/tables/tableF5.csv","5a493ab4cea623a95ab43f8c1a372a2eca7ad866632098c876914de97c464a67","^Charter","grade1","krw_report_card_table_cells",97,"OK","Report card","F5 Charter/Spectrum baseline Condorcet rank race",97,0,0,"count","exact","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f6_buildersfirstsource_theta","F6","../KRW-2024-companion-public/tables/tableF6.csv","c14b945e312ddfe73bcc10c3d91e7fdcebfebf8fdfe69700e85cd89f6ff00111","^Builders FirstSource","log_dif","krw_report_card_table_cells",1.568249,"OK","Report card","F6 Builders FirstSource theta_hat gender",1.57,-0.00175100000000006,0.01,"log_diff","banded","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f6_buildersfirstsource_postmean_baseline","F6","../KRW-2024-companion-public/tables/tableF6.csv","c14b945e312ddfe73bcc10c3d91e7fdcebfebf8fdfe69700e85cd89f6ff00111","^Builders FirstSource","post_mean_beta","krw_report_card_table_cells",0.89603,"OK","Report card","F6 Builders FirstSource baseline posterior mean gender",0.9,-0.00397000000000003,0.01,"proportion","banded","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f6_buildersfirstsource_postmean_industry","F6","../KRW-2024-companion-public/tables/tableF6.csv","c14b945e312ddfe73bcc10c3d91e7fdcebfebf8fdfe69700e85cd89f6ff00111","^Builders FirstSource","ind_post_mean_beta","krw_report_card_table_cells",0.67345,"OK","Report card","F6 Builders FirstSource industry posterior mean gender",0.67,0.00344999999999995,0.01,"proportion","banded","M2","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f6_lkq_theta","F6","../KRW-2024-companion-public/tables/tableF6.csv","c14b945e312ddfe73bcc10c3d91e7fdcebfebf8fdfe69700e85cd89f6ff00111","^LKQ","log_dif","krw_report_card_table_cells",0.6630465,"OK","Report card","F6 LKQ Auto theta_hat gender",0.66,0.00304649999999995,0.01,"log_diff","banded","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f6_nationwide_theta","F6","../KRW-2024-companion-public/tables/tableF6.csv","c14b945e312ddfe73bcc10c3d91e7fdcebfebf8fdfe69700e85cd89f6ff00111","^Nationwide","log_dif","krw_report_card_table_cells",-0.7258916,"OK","Report card","F6 Nationwide theta_hat gender",-0.73,0.00410840000000001,0.01,"log_diff","banded","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f6_ascena_theta","F6","../KRW-2024-companion-public/tables/tableF6.csv","c14b945e312ddfe73bcc10c3d91e7fdcebfebf8fdfe69700e85cd89f6ff00111","^Ascena","log_dif","krw_report_card_table_cells",-0.6610414,"OK","Report card","F6 Ascena theta_hat gender",-0.66,-0.00104139999999997,0.01,"log_diff","banded","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
"f6_ascena_condrank_baseline","F6","../KRW-2024-companion-public/tables/tableF6.csv","c14b945e312ddfe73bcc10c3d91e7fdcebfebf8fdfe69700e85cd89f6ff00111","^Ascena","grade1","krw_report_card_table_cells",96,"OK","Report card","F6 Ascena baseline Condorcet rank gender",96,0,0,"count","exact","M1","PASS",,"Source-table adapter for published KRW Online Appendix Table F5/F6 cells. Native live gp_fit report-card extraction remains gated by producer status and industry pipeline availability."
