14,-.1355019,.1233582
13,.1704998,.0953549
11,-.2341261,.0991912
17,.0664687,.191216
6,-.0414798,.1207758
4,-.1479645,.0762705
6,.1313126,.1631148
8,-.0069622,.1376742
6,.1537506,.1095026
14,.3802878,.2832973
8,-.151591,.1085069
18,.1478789,.107495
7,-.0226676,.3200506
15,.0109171,.1404478
10,.2777913,.2363354
9,-.0931692,.0698826
8,.238411,.2868227
5,-.0104565,.0706329
3,.0113318,.1622422
3,.1585999,.1625448
8,.0968521,.1265613
11,-.2006707,.1167384
7,-.0293241,.1036475
5,-.2087188,.1374934
7,.1620568,.0757138
11,-.1826503,.1723497
4,.0651038,.1766539
10,.0106799,.1285598
19,.1719028,.459475
6,-.1052313,.1327823
15,-.5309703,.6586289
8,-.1316842,.14511
8,.0884011,.0627417
14,.02294,.0856014
19,.111252,.2017224
13,.0568629,.0759465
15,-.7258916,.4844656
10,.0394417,.0867259
8,-.146241,.0792
3,.0147372,.1345578
14,-.146464,.0853488
18,.188486,.0931277
16,-.1331051,.1697103
17,-.3822436,.247293
8,.2623715,.136315
12,.0189591,.0862513
6,.4159785,.1920813
14,.1668011,.2399193
2,-.1337834,.1206244
17,-.1597701,.1234387
8,.0139261,.1093642
10,-.0883795,.0883092
4,.0879738,.1577041
13,-.1026542,.0837073
19,-.2941665,.1600345
13,.1031842,.0935413
19,-.0016557,.2641766
14,-.0472132,.1058388
18,.1483631,.1551574
16,-.1768441,.1325632
10,.2159358,.1198091
10,.0466212,.1109774
15,.4451937,.2601222
6,.0930571,.1040217
8,.1022789,.0790661
16,-.7160535,.3760485
8,-.0519112,.1093349
12,.066328,.1506858
10,.2982963,.2680194
10,.0589914,.1168547
1,-.0115431,.1113636
9,.0546938,.0376851
15,-.2116856,.1744681
15,.006091,.1262514
1,-.1019368,.2415022
4,-.3722067,.2190816
8,-.0286491,.0739897
9,.0914369,.1894792
12,-.0943612,.2547335
3,-.1576057,.1380399
10,-.1631015,.1748096
1,-.0421581,.0825392
17,.0992873,.1517415
11,-.4219829,.1781965
2,-.0029754,.3317312
2,.2418756,.1825366
1,-.0153252,.0418193
16,.0278435,.2730828
19,-.1452308,.1467377
19,-.3619654,.2524345
17,-.3148823,.2053937
6,.6630465,.213599
11,-.6610414,.1711962
1,-.1249735,.2917444
2,1.568249,.5514917
6,-.1510351,.1398827
5,.2695054,.2476278
